product_name,product_id,price,expiration_date,category
Yogurt - French Vanilla,375,$8.42,10/17/2022,household
Chutney Sauce - Mango,292,$25.77,8/12/2023,beverages
Wine - Port Late Bottled Vintage,466,$47.18,2/13/2023,food
Cinnamon - Ground,336,$44.15,8/20/2022,beverages
Roe - White Fish,432,$78.63,1/3/2022,food
"Juice - Apple, 1.36l",107,$82.88,8/24/2022,beverages
Mushroom - Portebello,335,$70.36,3/3/2022,food
Bacardi Breezer - Tropical,462,$40.10,1/24/2023,beverages
Quail - Jumbo,218,$68.68,9/30/2022,beverages
"Cherries - Maraschino,jar",429,$36.26,11/4/2023,beverages
Sugar Thermometer,420,$43.54,12/3/2022,beverages
Corn Kernels - Frozen,343,$24.52,6/23/2023,food
Barramundi,367,$37.88,12/15/2022,beverages
"Sugar - Brown, Individual",402,$67.34,2/2/2022,beverages
Cafe Royale,144,$22.64,9/7/2023,household
Bagel - Ched Chs Presliced,386,$82.41,11/18/2022,beverages
"Dill - Primerba, Paste",196,$12.99,12/26/2022,beverages
Duck - Fat,421,$21.45,12/18/2023,food
Tea - Lemon Green Tea,387,$85.38,4/6/2023,food
Cookies Cereal Nut,313,$40.14,8/16/2023,beverages
Wine - Semi Dry Riesling Vineland,182,$23.15,5/2/2022,household
Sprite - 355 Ml,356,$88.13,10/22/2023,food
Paper Towel Touchless,354,$62.75,10/14/2023,household
Onions Granulated,269,$15.32,6/22/2023,household
Fuji Apples,434,$24.97,1/1/2023,food
Five Alive Citrus,385,$92.87,7/23/2022,food
Vinegar - Sherry,182,$30.86,10/27/2022,household
Crackers - Water,164,$81.14,12/15/2023,beverages
"Lentils - Red, Dry",448,$60.06,11/25/2023,beverages
Wine - Jaboulet Cotes Du Rhone,437,$97.31,1/5/2023,household
Jolt Cola - Electric Blue,298,$71.10,2/12/2022,household
Wine - Savigny - Les - Beaune,184,$92.14,8/30/2022,beverages
Lychee,268,$67.36,6/5/2022,beverages
Pork - Shoulder,424,$47.39,12/22/2023,household
"C - Plus, Orange",391,$24.59,3/22/2023,household
Wiberg Cure,128,$22.36,7/14/2022,household
Pop Shoppe Cream Soda,358,$83.39,6/12/2023,food
Cactus Pads,318,$16.38,1/21/2023,food
"Tarragon - Primerba, Paste",152,$75.71,3/10/2022,household
Wine - Charddonnay Errazuriz,395,$30.54,7/30/2022,food
Wine - Ice Wine,408,$15.16,1/18/2023,household
Cake Slab,256,$67.38,7/6/2023,beverages
Salmon - Sockeye Raw,218,$58.45,1/31/2022,beverages
Watercress,192,$95.29,5/21/2023,beverages
Cinnamon - Ground,311,$77.94,5/28/2022,beverages
"Marjoram - Dried, Rubbed",228,$12.64,11/19/2023,household
"Wine - Red, Metus Rose",321,$61.18,4/24/2022,beverages
Swordfish Loin Portions,288,$16.05,7/18/2023,food
Container - Clear 32 Oz,160,$18.40,2/18/2023,household
Ham - Black Forest,242,$63.96,7/1/2022,beverages
